crop,year,yield_kg_per_ha,total_rainfall,avg_rainfall,max_rainfall,monsoon_rainfall
Rice,1981,1974.6,136143.438908648,45.02097847508201,665.4426,109427.341307
Rice,1982,1448.9,119251.520989989,39.435026782403774,355.03278,94722.163016
Rice,1983,2066.4,132036.45553472,43.66284905248678,310.88333,100861.390865
Rice,1984,1967.8,145058.68154576,47.96914072280423,452.2459,122028.5729282
Rice,1985,2016.1,147158.720169712,48.66359793971958,529.0,116313.825799
Rice,1986,1779.0,126836.157050144,41.94317362769312,240.96428,99998.011203
Rice,1987,2095.0,143027.212682183,47.29735869119808,438.32788,115306.7957865
Rice,1988,2263.5,139663.949012985,46.1851683243998,311.19672,112010.9426035
Rice,1989,2365.7,129420.469801709,42.79777440532705,340.9608,107938.037936
Rice,1990,2406.7,139630.292459526,46.17403851174802,385.7395,110084.659261
Rice,1991,2048.1,104702.416599536,34.62381501307407,372.57376,84963.77777
Rice,1992,2410.0,84788.945728786,28.03867252936045,249.34427,65746.794162
Rice,1993,2123.7,111786.891156569,36.96656453590245,263.78152,85360.71857
Rice,1994,2391.0,104665.002514379,34.611442630416335,314.96,88194.502236
Rice,1995,2455.4,96354.870661433,31.86338315523578,324.5462,81085.1334695
Rice,1996,2417.0,110133.773283257,36.41989857250562,282.57895,88001.20861
Rice,1997,2443.4,101530.926916374,33.57504196970039,293.60657,79438.218298
Rice,1998,2472.2,135246.810128546,44.7244742488578,358.03278,104166.599056
Rice,1999,2702.8,129543.024103328,42.8383016214709,394.2623,105714.196437
Rice,2000,2745.4,147903.208026636,48.90979101409921,445.0504,118072.778422
Rice,2001,2675.4,127178.317013323,42.05632176366501,351.93442,97181.305788
Rice,2002,2675.3,130508.551921292,43.15758992106217,426.2787,102695.45795
Rice,2003,2857.3,130985.770658408,43.31540035000265,352.459,107141.551325
Rice,2004,2782.5,137872.708900568,45.59282701738359,339.5946,110989.285786
Rice,2005,2716.6,110958.477267178,36.692618143908064,292.51852,84649.661549
Rice,2006,2557.0,127446.086589679,42.14486990399438,309.90277,97543.597709
Rice,2007,2775.0,138205.573417916,45.702901262538354,389.7787,106341.869949
Rice,2008,2907.4,135794.880138772,44.90571433160449,324.42,113779.547868
Rice,2009,2716.4,133018.564307753,43.98762047214054,413.74417,105406.61682
Rice,2010,2980.5,124109.459620642,41.04148796978902,423.29413,100547.4324045
Rice,2011,3312.0,136755.643980486,45.223427242224204,383.13446,109973.261733
Rice,2012,3170.9,125227.425850588,41.411185797152115,325.72092,102938.680823
Rice,2013,3394.2,141807.775564935,46.89410567623512,540.2857,104789.040092
Rice,2014,3359.6,134649.251405733,44.52686885110218,271.3721,105963.589008
Rice,2015,3154.3,121008.930771048,40.01618081053175,335.44263,90232.789763
Rice,2016,3369.0,135503.509467565,44.80936159641699,384.37704,106339.516653
Rice,2017,3505.8,118371.323552535,39.14395620123512,363.03278,95139.574294
Rice,2018,3760.7,130115.096968872,43.02747915637302,305.8,105586.484692
Rice,2019,3804.8,122663.106442189,40.56319657479795,460.91803,95610.290162
Rice,2020,3815.3,139839.758519288,46.243306388653444,377.70587,106186.949131
Rice,2021,3472.8,147155.437482122,48.66251239488162,357.7843,113322.716796
Rice,2022,3789.6,126160.530543462,41.71975216384325,353.57376,96946.1795195
Rice,2023,3978.0,110393.564912898,36.50580850294246,290.96722,87239.540342
Rice,2024,4192.2,115179.322538063,38.08840031020602,382.85245,97736.21131
Wheat,1981,1218.0,136143.438908648,45.02097847508201,665.4426,109427.341307
Wheat,1982,1315.2,119251.520989989,39.435026782403774,355.03278,94722.163016
Wheat,1983,1357.2,132036.45553472,43.66284905248678,310.88333,100861.390865
Wheat,1984,1343.3,145058.68154576,47.96914072280423,452.2459,122028.5729282
Wheat,1985,1181.1,147158.720169712,48.66359793971958,529.0,116313.825799
Wheat,1986,1238.6,126836.157050144,41.94317362769312,240.96428,99998.011203
Wheat,1987,1309.1,143027.212682183,47.29735869119808,438.32788,115306.7957865
Wheat,1988,1247.8,139663.949012985,46.1851683243998,311.19672,112010.9426035
Wheat,1989,1385.1,129420.469801709,42.79777440532705,340.9608,107938.037936
Wheat,1990,1414.9,139630.292459526,46.17403851174802,385.7395,110084.659261
Wheat,1991,1410.3,104702.416599536,34.62381501307407,372.57376,84963.77777
Wheat,1992,1333.8,84788.945728786,28.03867252936045,249.34427,65746.794162
Wheat,1993,1246.0,111786.891156569,36.96656453590245,263.78152,85360.71857
Wheat,1994,1470.4,104665.002514379,34.611442630416335,314.96,88194.502236
Wheat,1995,1441.6,96354.870661433,31.86338315523578,324.5462,81085.1334695
Wheat,1996,1550.0,110133.773283257,36.41989857250562,282.57895,88001.20861
Wheat,1997,1607.2,101530.926916374,33.57504196970039,293.60657,79438.218298
